Run # 1
Matrix size: 100 | Time Elapsed: 0.00018 seconds
Matrix size: 200 | Time Elapsed: 0.00071 seconds
Matrix size: 300 | Time Elapsed: 0.00158 seconds
Matrix size: 400 | Time Elapsed: 0.00276 seconds
Matrix size: 500 | Time Elapsed: 0.00435 seconds
Matrix size: 600 | Time Elapsed: 0.00619 seconds
Matrix size: 700 | Time Elapsed: 0.00967 seconds
Matrix size: 800 | Time Elapsed: 0.01133 seconds
Matrix size: 900 | Time Elapsed: 0.01410 seconds
Matrix size: 1000 | Time Elapsed: 0.01795 seconds
Matrix size: 2000 | Time Elapsed: 0.07414 seconds
Matrix size: 3000 | Time Elapsed: 0.16152 seconds
Matrix size: 4000 | Time Elapsed: 0.32216 seconds
Matrix size: 8000 | Time Elapsed: 1.19128 seconds
Matrix size: 16000 | Time Elapsed: 4.78671 seconds
Matrix size: 20000 | Time Elapsed: 7.46443 seconds
Run # 2
Matrix size: 100 | Time Elapsed: 0.00017 seconds
Matrix size: 200 | Time Elapsed: 0.00070 seconds
Matrix size: 300 | Time Elapsed: 0.00156 seconds
Matrix size: 400 | Time Elapsed: 0.00276 seconds
Matrix size: 500 | Time Elapsed: 0.00440 seconds
Matrix size: 600 | Time Elapsed: 0.00620 seconds
Matrix size: 700 | Time Elapsed: 0.00847 seconds
Matrix size: 800 | Time Elapsed: 0.01102 seconds
Matrix size: 900 | Time Elapsed: 0.01401 seconds
Matrix size: 1000 | Time Elapsed: 0.01743 seconds
Matrix size: 2000 | Time Elapsed: 0.07089 seconds
Matrix size: 3000 | Time Elapsed: 0.16322 seconds
Matrix size: 4000 | Time Elapsed: 0.28960 seconds
Matrix size: 8000 | Time Elapsed: 1.16259 seconds
Matrix size: 16000 | Time Elapsed: 4.77117 seconds
Matrix size: 20000 | Time Elapsed: 7.48044 seconds
Run # 3
Matrix size: 100 | Time Elapsed: 0.00017 seconds
Matrix size: 200 | Time Elapsed: 0.00072 seconds
Matrix size: 300 | Time Elapsed: 0.00156 seconds
Matrix size: 400 | Time Elapsed: 0.00277 seconds
Matrix size: 500 | Time Elapsed: 0.00432 seconds
Matrix size: 600 | Time Elapsed: 0.00621 seconds
Matrix size: 700 | Time Elapsed: 0.00844 seconds
Matrix size: 800 | Time Elapsed: 0.01109 seconds
Matrix size: 900 | Time Elapsed: 0.01403 seconds
Matrix size: 1000 | Time Elapsed: 0.01721 seconds
Matrix size: 2000 | Time Elapsed: 0.07161 seconds
Matrix size: 3000 | Time Elapsed: 0.16246 seconds
Matrix size: 4000 | Time Elapsed: 0.29062 seconds
Matrix size: 8000 | Time Elapsed: 1.17755 seconds
Matrix size: 16000 | Time Elapsed: 4.81887 seconds
Matrix size: 20000 | Time Elapsed: 7.54000 seconds
