Run # 1 :
Matrix size: 100 | Time Elapsed: 0.021460294723510742 seconds
Matrix size: 200 | Time Elapsed: 0.06479406356811523 seconds
Matrix size: 300 | Time Elapsed: 0.0908820629119873 seconds
Matrix size: 400 | Time Elapsed: 0.15416312217712402 seconds
Matrix size: 500 | Time Elapsed: 0.2466752529144287 seconds
Matrix size: 600 | Time Elapsed: 0.3481001853942871 seconds
Matrix size: 700 | Time Elapsed: 0.49774646759033203 seconds
Matrix size: 800 | Time Elapsed: 0.6479339599609375 seconds
Matrix size: 900 | Time Elapsed: 0.8443586826324463 seconds
Matrix size: 1000 | Time Elapsed: 1.0070006847381592 seconds
Matrix size: 2000 | Time Elapsed: 4.146147966384888 seconds
Matrix size: 3000 | Time Elapsed: 11.071658372879028 seconds
Matrix size: 4000 | Time Elapsed: 16.613140106201172 seconds
Matrix size: 8000 | Time Elapsed: 68.58725237846375 seconds
Matrix size: 16000 | Time Elapsed: 263.896457195282 seconds
Matrix size: 20000 | Time Elapsed: 425.8241159915924 seconds
Run # 2 :
Matrix size: 100 | Time Elapsed: 0.009777069091796875 seconds
Matrix size: 200 | Time Elapsed: 0.03786158561706543 seconds
Matrix size: 300 | Time Elapsed: 0.08444333076477051 seconds
Matrix size: 400 | Time Elapsed: 0.15289974212646484 seconds
Matrix size: 500 | Time Elapsed: 0.23850536346435547 seconds
Matrix size: 600 | Time Elapsed: 0.34552955627441406 seconds
Matrix size: 700 | Time Elapsed: 0.47189903259277344 seconds
Matrix size: 800 | Time Elapsed: 0.6204822063446045 seconds
Matrix size: 900 | Time Elapsed: 0.7888076305389404 seconds
Matrix size: 1000 | Time Elapsed: 0.9756748676300049 seconds
Matrix size: 2000 | Time Elapsed: 3.981553792953491 seconds
Matrix size: 3000 | Time Elapsed: 8.99050498008728 seconds
Matrix size: 4000 | Time Elapsed: 15.83130431175232 seconds
Matrix size: 8000 | Time Elapsed: 64.30677509307861 seconds
Matrix size: 16000 | Time Elapsed: 270.6079521179199 seconds
Matrix size: 20000 | Time Elapsed: 436.4750826358795 seconds
Run # 3 :
Matrix size: 100 | Time Elapsed: 0.010206222534179688 seconds
Matrix size: 200 | Time Elapsed: 0.040309906005859375 seconds
Matrix size: 300 | Time Elapsed: 0.09047961235046387 seconds
Matrix size: 400 | Time Elapsed: 0.1629185676574707 seconds
Matrix size: 500 | Time Elapsed: 0.2667241096496582 seconds
Matrix size: 600 | Time Elapsed: 0.370525598526001 seconds
Matrix size: 700 | Time Elapsed: 0.5019404888153076 seconds
Matrix size: 800 | Time Elapsed: 0.683152437210083 seconds
Matrix size: 900 | Time Elapsed: 0.8567090034484863 seconds
Matrix size: 1000 | Time Elapsed: 1.085554599761963 seconds
Matrix size: 2000 | Time Elapsed: 4.205593109130859 seconds
Matrix size: 3000 | Time Elapsed: 9.6678626537323 seconds
Matrix size: 4000 | Time Elapsed: 16.8975248336792 seconds
Matrix size: 8000 | Time Elapsed: 68.891042470932 seconds
Matrix size: 16000 | Time Elapsed: 275.0712673664093 seconds
Matrix size: 20000 | Time Elapsed: 449.70665740966797 seconds
